ProtocolName	SequenceName	SeriesDescription
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
ep2d_bold_moco_s4_post_ch64	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64
ep2d_bold_moco_s4_post_ch64	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64
Phoenix Document		PhoenixZIPReport
AAHead_Scout_64ch-head-coil	*fl3d1_ns	AAHead_Scout_64ch-head-coil
AAHead_Scout_64ch-head-coil	*fl3d1_ns	AAHead_Scout_64ch-head-coil_MPR_sag
AAHead_Scout_64ch-head-coil	*fl3d1_ns	AAHead_Scout_64ch-head-coil_MPR_cor
AAHead_Scout_64ch-head-coil	*fl3d1_ns	AAHead_Scout_64ch-head-coil_MPR_tra
t1_mprage_sag_p3_iso	*tfl3d1_16ns	t1_mprage_sag_p3_iso
	*tfl3d1_16ns	t1_mprage_sag_p3_iso_MPR_Sag
	*tfl3d1_16ns	t1_mprage_sag_p3_iso_MPR_Cor
	*tfl3d1_16ns	t1_mprage_sag_p3_iso_MPR_Tra
t2_space_sag_iso_p4	*spcR_282ns	t2_space_sag_iso_p4
	*spcR_282ns	t2_space_sag_iso_p4_MPR_Sag
	*spcR_282ns	t2_space_sag_iso_p4_MPR_Cor
	*spcR_282ns	t2_space_sag_iso_p4_MPR_Tra
t2_space_dark-fluid_sag_c4_iso	*spcir_192ns	t2_space_dark-fluid_sag_c4_iso
	*spcir_192ns	t2_space_dark-fluid_sag_c4_iso_MPR_Sag
	*spcir_192ns	t2_space_dark-fluid_sag_c4_iso_MPR_Cor
	*spcir_192ns	t2_space_dark-fluid_sag_c4_iso_MPR_Tra
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra	*tir2d1_17	t2_tse_dark-fluid_tra
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
ep2d_bold_moco_s4_post_ch64_Pictures_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra	*tir2d1_17	t2_tse_dark-fluid_tra
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
ep2d_bold_moco_s4_post_ch64_Pictures_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra	*tir2d1_17	t2_tse_dark-fluid_tra
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
ep2d_bold_moco_s4_post_ch64_Pictures_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra_FAST	*tir2d1_17	t2_tse_dark-fluid_tra_FAST
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
ep2d_bold_moco_s4_post_ch64_Pictures_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
Phoenix Document		PhoenixZIPReport
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra_FAST	*tir2d1_17	t2_tse_dark-fluid_tra_FAST
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
ep2d_bold_moco_s4_post_ch64_Pictures_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra	*tir2d1_17	t2_tse_dark-fluid_tra
t2_tse_dark-fluid_tra_FAST	*tir2d1_17	t2_tse_dark-fluid_tra_FAST
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
ep2d_bold_moco_s4_post_ch64_Pictures_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra_FAST	*tir2d1_17	t2_tse_dark-fluid_tra_FAST
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
ep2d_bold_moco_s4_post_ch64_Pictures_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra_FAST	*tir2d1_17	t2_tse_dark-fluid_tra_FAST
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra	*tir2d1_17	t2_tse_dark-fluid_tra
ep2d_bold_moco_s4_post_ch64	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64
ep2d_bold_moco_s4_post_ch64	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64
ep2d_bold_moco_s4_post_ch64	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64
ep2d_bold_moco_s4_post_ch64	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64
ep2d_bold_moco_s4_post_ch64	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64
ep2d_bold_moco_s4_post_ch64	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64
Phoenix Document		PhoenixZIPReport
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
ep2d_bold_moco_s4_post_ch64_Pictures_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra_FAST	*tir2d1_17	t2_tse_dark-fluid_tra_FAST
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
ep2d_bold_moco_s4_post_ch64_VIDEO_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
ep2d_bold_moco_s4_post_ch64_Pictures_L-R	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures_L-R
ep2d_bold_moco_s4_post_ch64_Pictures	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_Pictures
Phoenix Document		PhoenixZIPReport
AAHead_Scout	*fl3d1_ns	AAHead_Scout
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra
t1_mprage_sag_p2	*tfl3d1_16ns	t1_mprage_sag_p2
t2_tse_tra_p2	*tse2d1_17	t2_tse_tra_p2
t2_tse_dark-fluid_tra	*tir2d1_17	t2_tse_dark-fluid_tra
ep2d_bold_moco_s4_post_ch64_VIDEO	*epfid2d1_64	ep2d_bold_moco_s4_post_ch64_VIDEO
