ProtocolName	SequenceName	SeriesDescription	size
t2_tse_tra_p3_noisereduction	*qtse2d1_15	<MPR Thick Range>	9
t1_petra_tra_FOV300	*Petra3d1_400	<MPR Thick Range[1]>	1
AAHead_Scout	*fl3d1_ns	AAHead_Scout	171
AAHead_Scout_64ch-head-coil	*fl3d1_ns	AAHead_Scout_64ch-head-coil	3
AAHead_Scout_64ch-head-coil	*fl3d1_ns	AAHead_Scout_64ch-head-coil_MPR_cor	3
AAHead_Scout_64ch-head-coil	*fl3d1_ns	AAHead_Scout_64ch-head-coil_MPR_sag	3
AAHead_Scout_64ch-head-coil	*fl3d1_ns	AAHead_Scout_64ch-head-coil_MPR_tra	3
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_cor	170
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_sag	171
AAHead_Scout	*fl3d1_ns	AAHead_Scout_MPR_tra	170
CBU_mbep2d_1.75mm_AP_MB4_98dir_b300_b1000_b2000	ep_b5#1	CBU_mbep2d_1.75mm_AP_MB4_98dir_b300_b1000_b2000	39
CBU_mbep2d_1.75mm_PA_MB4_98dir_b300_b1000_b2000	ep_b5#1	CBU_mbep2d_1.75mm_PA_MB4_98dir_b300_b1000_b2000	39
CBU_mbep2d_2mm_AP_MB4_98dir_b300_b1000_b2000	ep_b5#1	CBU_mbep2d_2mm_AP_MB4_98dir_b300_b1000_b2000	2
CBU_mbep2d_2mm_AP_MB4_b0	ep_b0	CBU_mbep2d_2mm_AP_MB4_b0	1
CBU_mbep2d_2mm_PA_MB4_98dir_b300_b1000_b2000	ep_b5#1	CBU_mbep2d_2mm_PA_MB4_98dir_b300_b1000_b2000	2
CBU_mbep2d_2mm_PA_MB4_b0	ep_b0	CBU_mbep2d_2mm_PA_MB4_b0	1
t2_swi_tra_p2_	*swi3d1r	Mag_Images	50
ep2d_tra_pasl_p2	*epfid2d1_64	MoCoSeries	48
ep2d_tra_pasl_p2	*epfid2d1_64	Perfusion_Weighted	48
t2_swi_tra_p2_	*swi3d1r	Pha_Images	50
t2_swi_tra_p2_	*swi3d1r	SWI_Images	50
T1w_TSE_LC_Neuromelanin	*tse2d1_4	T1w_TSE_LC_Neuromelanin	3
cmrr_SBep2d_se_AP	*epfid2d1_64	cmrr_SBep2d_se_AP	17
cmrr_SBep2d_se_PA	*epfid2d1_64	cmrr_SBep2d_se_PA	17
cmrr_ep2d_bold_videos_AP_Axial_44Slices	*epfid2d1_64	cmrr_ep2d_bold_videos_AP_Axial_44Slices	1
cmrr_ep2d_bold_videos_AP_Axial_44Slices_noMotion	*epfid2d1_64	cmrr_ep2d_bold_videos_AP_Axial_44Slices_noMotion	1
cmrr_mbep2d_bold_Pictures_AP	*epfid2d1_64	cmrr_mbep2d_bold_Pictures_AP	62
cmrr_mbep2d_bold_Resting_10	*epfid2d1_64	cmrr_mbep2d_bold_Resting_10	18
cmrr_mbep2d_bold_Resting_10_AP	*epfid2d1_64	cmrr_mbep2d_bold_Resting_10_AP	1
cmrr_mbep2d_bold_Resting_5	*epfid2d1_64	cmrr_mbep2d_bold_Resting_5	11
cmrr_mbep2d_bold_Resting_5_RL	*epfid2d1_64	cmrr_mbep2d_bold_Resting_5_RL	1
cmrr_mbep2d_bold_sref	*epfid2d1_64	cmrr_mbep2d_bold_sref	2
cmrr_mbep2d_bold_videos_AP	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP	85
cmrr_mbep2d_bold_videos_AP_Axial_44Slices_AntCoil	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP_Axial_44Slices_AntCoil	1
cmrr_mbep2d_bold_videos_AP_Axial_44Slices_AntCoil_motion	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP_Axial_44Slices_AntCoil_motion	1
cmrr_mbep2d_bold_videos_AP_SMALLVOXEL	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP_SMALLVOXEL	1
cmrr_mbep2d_bold_videos_AP_Sag_AntCoil_motion	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP_Sag_AntCoil_motion	1
cmrr_mbep2d_bold_videos_AP_Sag_AntCoil_still	*epfid2d1_64	cmrr_mbep2d_bold_videos_AP_Sag_AntCoil_still	1
cmrr_mbep2d_diff_AP_mb4	ep_b0	cmrr_mbep2d_diff_AP_mb4	2
cmrr_mbep2d_diff_AP_mb4_norm	ep_b0	cmrr_mbep2d_diff_AP_mb4_norm	2
cmrr_mbep2d_diff_AP_mb4_norm_pulse1.5x	ep_b0	cmrr_mbep2d_diff_AP_mb4_norm_pulse1.5x	9
cmrr_mbep2d_diff_AP_mb8	ep_b0	cmrr_mbep2d_diff_AP_mb8	1
cmrr_mbep2d_diff_AP_mb8_norm	ep_b0	cmrr_mbep2d_diff_AP_mb8_norm	1
cmrr_mbep2d_diff_PA_mb4	ep_b0	cmrr_mbep2d_diff_PA_mb4	1
cmrr_mbep2d_diff_PA_mb4_norm_pulse1.5x	ep_b0	cmrr_mbep2d_diff_PA_mb4_norm_pulse1.5x	4
cmrr_mbep2d_diff_PA_mb8	ep_b0	cmrr_mbep2d_diff_PA_mb8	1
